// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4A3CC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	GyrTemp_X	GyrTemp_Y	GyrTemp_Z
65109						-9.797044	0.068697	0.023153	-0.180857	-0.164733	-0.018430	0.009445	-0.056379	0.031553	0.576027	0.425728	0.567987	-0.405388	104.428588	88.227765	32.432418	0.026103	0.016586	-0.999522	0.950645	0.308832	0.029951	0.309181	-0.950972	-0.007706			
65110						-9.786496	-0.041640	-0.171710	-0.350395	-0.009945	-0.030876	0.055485	-0.051796	0.032823	0.576113	0.425893	0.567671	-0.405534	103.491089	88.214063	31.463587	0.026583	0.016267	-0.999514	0.950802	0.308314	0.030305	0.308657	-0.951146	-0.007271			
65111						-9.762136	-0.065913	0.002047	-0.323732	-0.178255	-0.057326	0.121086	-0.050701	0.030875	0.576079	0.426207	0.567219	-0.405886	102.489652	88.203618	30.395363	0.027039	0.015861	-0.999509	0.951150	0.307209	0.030606	0.307543	-0.951510	-0.006779			
65112						-9.817604	0.229372	0.170807	0.003355	-0.246662	0.005983	0.162232	-0.037141	0.026730	0.575884	0.426692	0.566741	-0.406320	101.923863	88.190649	29.737226	0.027416	0.015661	-0.999501	0.951634	0.305675	0.030893	0.306007	-0.952007	-0.006524			
65113						-9.792047	0.689225	0.122246	0.423774	-0.058525	-0.004979	0.150727	-0.026717	0.024521	0.575712	0.427088	0.566376	-0.406657	101.573883	88.179809	29.313668	0.027696	0.015551	-0.999495	0.952019	0.304452	0.031117	0.304783	-0.952401	-0.006373			
65114						-9.775971	0.978571	0.085385	0.685624	0.064827	-0.011656	0.069423	-0.019584	0.022451	0.575655	0.427329	0.566147	-0.406803	101.293800	88.166979	28.994599	0.027978	0.015505	-0.999488	0.952218	0.303803	0.031367	0.304134	-0.952609	-0.006264			
65115						-9.711491	0.949836	0.104555	0.663578	0.039474	-0.076966	-0.012221	-0.017541	0.008890	0.575755	0.427297	0.566102	-0.406758	100.971652	88.161032	28.680119	0.028153	0.015401	-0.999485	0.952173	0.303931	0.031504	0.304260	-0.952570	-0.006108			
65116						-9.701142	0.720640	0.182252	0.468320	-0.102626	-0.094928	-0.073672	-0.022461	-0.003541	0.575960	0.427046	0.566211	-0.406580	100.652454	88.163029	28.403943	0.028197	0.015248	-0.999486	0.951944	0.304649	0.031503	0.304973	-0.952343	-0.005926			
65117						-9.743016	0.480424	-0.040542	0.171418	0.039317	-0.059335	-0.090208	-0.033337	-0.006541	0.576299	0.426525	0.566451	-0.406313	100.106884	88.178114	27.937677	0.028087	0.014895	-0.999494	0.951525	0.305974	0.031299	0.306285	-0.951923	-0.005579			
65118						-9.858873	0.292631	-0.275362	-0.083208	0.206982	0.051848	-0.045936	-0.043066	-0.006933	0.576496	0.426302	0.566451	-0.406267	99.444034	88.183911	27.301829	0.028161	0.014536	-0.999498	0.951380	0.306428	0.031262	0.306729	-0.951783	-0.005200			
65119						-9.883987	0.127287	-0.431121	-0.291067	0.308474	0.072422	0.007123	-0.050500	0.002446	0.576621	0.426289	0.566240	-0.406398	98.515957	88.181922	26.361889	0.028427	0.014088	-0.999497	0.951438	0.306237	0.031376	0.306525	-0.951851	-0.004698			
65120						-9.821436	0.209506	-0.309117	-0.174938	0.222611	0.011767	0.050098	-0.053117	-0.008175	0.576639	0.426319	0.566018	-0.406649	97.724573	88.188642	25.542379	0.028520	0.013629	-0.999500	0.951588	0.305778	0.031322	0.306052	-0.952005	-0.004249			
65121						-9.855528	0.338988	-0.224722	-0.028511	0.187150	0.049412	0.035041	-0.063361	-0.014207	0.576701	0.426338	0.565712	-0.406966	96.543082	88.195314	24.327251	0.028696	0.012973	-0.999504	0.951765	0.305229	0.031287	0.305484	-0.952191	-0.003589			
65122						-9.950133	0.546537	-0.121607	0.197252	0.157020	0.149996	-0.011013	-0.067757	-0.016900	0.576873	0.426137	0.565591	-0.407101	95.452596	88.206905	23.243503	0.028751	0.012348	-0.999510	0.951730	0.305352	0.031149	0.305587	-0.952160	-0.002973			
65123						-9.925846	0.528008	0.006965	0.219894	0.037417	0.124692	-0.091398	-0.080066	-0.025611	0.577279	0.425549	0.565667	-0.407035	93.974617	88.229117	21.831349	0.028687	0.011492	-0.999522	0.951384	0.306461	0.030828	0.306669	-0.951814	-0.002142			
65124						-9.842943	0.456367	-0.000660	0.151543	0.032158	0.039612	-0.121200	-0.087406	-0.028396	0.577717	0.424958	0.565738	-0.406933	92.427999	88.246265	20.354462	0.028693	0.010645	-0.999532	0.951014	0.307633	0.030576	0.307815	-0.951445	-0.001296			
65125						-9.933434	0.420890	-0.021678	0.108348	0.050319	0.128965	-0.129684	-0.091516	-0.035248	0.578187	0.424316	0.565786	-0.406869	90.595055	88.265463	18.592454	0.028689	0.009651	-0.999542	0.950636	0.308828	0.030267	0.308978	-0.951069	-0.000314			
65126						-9.980559	0.329559	0.044563	0.041004	-0.031783	0.173276	-0.105924	-0.092771	-0.036677	0.578591	0.423734	0.565827	-0.406845	88.890460	88.284572	16.948784	0.028635	0.008727	-0.999552	0.950313	0.309854	0.029930	0.309977	-0.950744	0.000580			
65127						-10.038240	0.372582	0.216175	0.134211	-0.170766	0.232442	-0.094723	-0.101871	-0.032872	0.579048	0.423084	0.565831	-0.406864	86.764226	88.304645	14.885843	0.028592	0.007600	-0.999562	0.949976	0.310923	0.029538	0.311011	-0.950405	0.001670			
65128						-10.074348	0.248747	0.325797	0.049589	-0.303384	0.265308	-0.090204	-0.101134	-0.031189	0.579452	0.422545	0.565804	-0.406886	84.838640	88.316844	13.012122	0.028618	0.006613	-0.999569	0.949698	0.311798	0.029253	0.311857	-0.950125	0.002642			
65129						-10.153828	0.282028	0.497418	0.131215	-0.445106	0.346635	-0.103385	-0.120973	-0.032025	0.579934	0.421985	0.565683	-0.406949	82.424835	88.321328	10.648146	0.028790	0.005413	-0.999571	0.949427	0.312643	0.029039	0.312666	-0.949855	0.003862			
65130						-10.067629	0.252681	0.202553	0.012005	-0.160829	0.258857	-0.120299	-0.138842	-0.015455	0.580540	0.421326	0.565574	-0.406919	79.765055	88.316686	8.057156	0.029085	0.004117	-0.999568	0.949048	0.313802	0.028908	0.313786	-0.949480	0.005220			
65131						-9.930858	0.083734	0.025719	-0.202770	-0.031170	0.116437	-0.140336	-0.148735	-0.005856	0.581278	0.420522	0.565503	-0.406796	76.834827	88.305606	5.219500	0.029446	0.002690	-0.999563	0.948536	0.315356	0.028791	0.315296	-0.948969	0.006734			
65132						-9.880399	-0.074016	-0.121680	-0.401783	0.072592	0.060298	-0.149350	-0.150894	-0.003101	0.582003	0.419788	0.565391	-0.406673	74.057223	88.284934	2.527279	0.029900	0.001320	-0.999552	0.948059	0.316790	0.028778	0.316686	-0.948495	0.008221			
65133						-9.947304	-0.108211	-0.087219	-0.430195	0.043806	0.126184	-0.146125	-0.158805	-0.010302	0.582742	0.419039	0.565210	-0.406639	70.999117	88.259926	-0.452936	0.030364	-0.000240	-0.999539	0.947622	0.318102	0.028711	0.317948	-0.948057	0.009886			
65134						-10.087588	-0.096228	-0.038606	-0.411953	0.016713	0.267004	-0.154555	-0.171316	-0.011882	0.583516	0.418223	0.565066	-0.406568	67.962889	88.231645	-3.401000	0.030804	-0.001831	-0.999524	0.947127	0.319583	0.028604	0.319378	-0.947557	0.011578			
65135						-10.286443	-0.129213	-0.021652	-0.447137	0.008277	0.464863	-0.140715	-0.185358	-0.015046	0.584355	0.417247	0.564949	-0.406530	64.541519	88.203577	-6.721468	0.031133	-0.003669	-0.999509	0.946562	0.321277	0.028304	0.321015	-0.946978	0.013475			
65136						-10.432461	-0.153670	-0.052026	-0.490387	0.048585	0.609389	-0.100963	-0.211666	-0.002256	0.585150	0.416531	0.564557	-0.406665	61.200884	88.149667	-10.004886	0.031798	-0.005610	-0.999479	0.946232	0.322250	0.028295	0.321923	-0.946638	0.015555			
65137						-10.545869	-0.270531	0.023210	-0.586495	-0.037973	0.720290	-0.042986	-0.234764	0.001560	0.585955	0.415788	0.564083	-0.406925	57.638130	88.087633	-13.520087	0.032446	-0.007802	-0.999443	0.945957	0.323066	0.028188	0.322666	-0.946344	0.017862			
65138						-10.551973	-0.381943	0.048165	-0.692696	-0.073939	0.723298	0.019176	-0.255293	0.004054	0.586634	0.415351	0.563304	-0.407470	54.250453	88.004543	-16.919652	0.033313	-0.010134	-0.999394	0.946010	0.322903	0.028259	0.322421	-0.946378	0.020344			
65139						-10.501693	-0.549161	-0.040027	-0.884271	-0.017510	0.666169	0.078769	-0.278503	-0.001719	0.587353	0.414721	0.562526	-0.408152	50.407281	87.918965	-20.769047	0.033953	-0.012877	-0.999340	0.946041	0.322837	0.027983	0.322264	-0.946367	0.023143			
65140						-10.359902	-0.689831	-0.073166	-1.033400	-0.004864	0.518855	0.155501	-0.301478	0.006574	0.587882	0.414595	0.561326	-0.409168	47.183469	87.803618	-24.083117	0.034989	-0.015639	-0.999265	0.946531	0.321385	0.028112	0.320709	-0.946819	0.026048			
65141						-10.306669	-0.569387	0.010393	-0.900832	-0.015343	0.470304	0.229426	-0.318456	0.012290	0.588379	0.414496	0.560028	-0.410332	44.043853	87.678003	-27.330725	0.035993	-0.018602	-0.999179	0.947120	0.319642	0.028167	0.318855	-0.947356	0.029123			
65142						-10.373535	-0.340197	0.000465	-0.701644	0.100350	0.542190	0.241725	-0.333157	0.011939	0.588825	0.414571	0.558544	-0.411636	41.293146	87.534717	-30.221263	0.037168	-0.021651	-0.999074	0.947876	0.317374	0.028385	0.316465	-0.948053	0.032318			
65143						-10.419309	-0.096971	-0.030994	-0.494501	0.242201	0.592554	0.179038	-0.357003	-0.000227	0.589461	0.414327	0.557170	-0.412831	38.458008	87.380511	-33.153937	0.038263	-0.024994	-0.998955	0.948398	0.315807	0.028424	0.314766	-0.948494	0.035788			
65144						-10.291252	0.092443	0.118595	-0.274016	0.193242	0.474194	0.107038	-0.389374	-0.022602	0.590268	0.413790	0.555866	-0.413975	35.528832	87.212168	-36.146568	0.039275	-0.028689	-0.998816	0.948735	0.314806	0.028264	0.313622	-0.948722	0.039582			
65145						-9.975765	0.001601	-0.256348	-0.474164	0.549938	0.139911	-0.084220	-0.397502	-0.030162	0.591545	0.412455	0.555070	-0.414551	32.513016	87.039245	-39.089651	0.040090	-0.032568	-0.998665	0.948334	0.316057	0.027762	0.314731	-0.948181	0.043556			
65146						-9.571687	-0.057160	-0.608180	-0.633227	0.887887	-0.283736	-0.233006	-0.376384	-0.053142	0.592950	0.410851	0.554567	-0.414809	29.848228	86.872940	-41.623262	0.040778	-0.036234	-0.998511	0.947612	0.318269	0.027150	0.316811	-0.947308	0.047314			
65147						-8.930413	-0.288105	-1.274619	-1.043792	1.452280	-0.966148	-0.387978	-0.317942	-0.083922	0.594469	0.408754	0.554682	-0.414555	27.324236	86.741647	-43.915110	0.040945	-0.039423	-0.998383	0.946336	0.322130	0.026090	0.320581	-0.945874	0.050496			
65148						-8.245209	-0.238116	-2.094716	-1.237379	2.236771	-1.695192	-0.482511	-0.202298	-0.109792	0.595777	0.406608	0.555322	-0.413928	25.226620	86.668300	-45.738012	0.040562	-0.041620	-0.998310	0.944815	0.326668	0.024769	0.325085	-0.944222	0.052574			
